,,,,,,,,,,,,,,,,,,,,,
"□ 조립 리드타임 실적 집계 (HN5010 이후, 16년 5월 이후)",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,기본정보,,,,,,,,,기타 정보,,,,계획,실적,,,,,,
,팀,세부공정,선종,프로젝트,블럭,Ass'y,PCG,PCG명,업체명,Weight,길이(L),폭(B),높이(H),계획L/T,착수,완료,실적L/T,,,,
,조립2팀,중조립,115K PC,HN5010,E41S,LB15,EL1,E/ROOM (L-TYPE),(유)고성산업,, 16.3, 5.0, 5.0,6 ,2016/6/23,2016/6/30,6 ,,,,
,조립2팀,중조립,115K PC,HN5010,S12P,LB1,CS2,S/SHELL (CURVE),(유)세진기업,, 20.9, 15.2, 2.6,9 ,2016/6/16,2016/6/27,8 ,,,,
,조립2팀,중조립,115K PC,HN5010,S12P,TB63,CS2,S/SHELL (CURVE),(유)세진기업,, 11.7, 5.2, 6.6,6 ,2016/6/20,2016/6/27,6 ,,,,
,조립2팀,중조립,115K PC,HN5010,S12S,LB1,CS2,S/SHELL (CURVE),(유)해인산업,, 20.9, 15.2, 2.6,9 ,2016/6/21,2016/6/29,7 ,,,,
,조립2팀,중조립,115K PC,HN5010,S12S,TB63,CS2,S/SHELL (CURVE),(유)고성산업,, 11.7, 5.2, 6.6,6 ,2016/6/21,2016/6/30,8 ,,,,
,조립2팀,중조립,115K PC,HN5010,S13P,BG1,CS1,S/SHELL (FLAT),(유)세진기업,, 0.0, 0.0, 0.0,5 ,2016/6/7,2016/6/10,4 ,,,,
,조립2팀,중조립,115K PC,HN5010,S13P,HP1,CS1,S/SHELL (FLAT),(유)세진기업,, 21.3, 8.5, 5.3,7 ,2016/6/9,2016/6/17,7 ,,,,
,조립2팀,중조립,115K PC,HN5010,S13P,LB1,CS1,S/SHELL (FLAT),(유)세진기업,, 21.3, 15.2, 2.6,7 ,2016/6/10,2016/6/23,10 ,,,,
,조립2팀,중조립,115K PC,HN5010,S13S,HP1,CS1,S/SHELL (FLAT),(유)해인산업,, 21.3, 8.5, 5.3,7 ,2016/6/9,2016/6/17,7 ,,,,
,조립2팀,중조립,115K PC,HN5010,S13S,BG1,CS1,S/SHELL (FLAT),(유)고성산업,, 0.0, 0.0, 0.0,5 ,2016/6/13,2016/6/18,6 ,,,,
,조립2팀,중조립,115K PC,HN5010,S13S,LB1,CS1,S/SHELL (FLAT),(유)해인산업,, 21.3, 15.2, 2.6,7 ,2016/6/15,2016/6/22,6 ,,,,
,조립2팀,중조립,115K PC,HN5010,S14P,BG1,CS1,S/SHELL (FLAT),(유)세진기업,, 0.0, 0.0, 0.0,5 ,2016/6/27,2016/6/30,4 ,,,,
,조립2팀,중조립,115K PC,HN5010,S15P,BG1,CS1,S/SHELL (FLAT),(유)세진기업,, 0.0, 0.0, 0.0,5 ,2016/6/27,2016/6/30,4 ,,,,
,조립1팀,중조립,115K PC,HN5010,A31P,SS1,AL4,AFT. DECK (R/HORN SIDE BLK),(유)예솔기업,, 0.0, 0.0, 0.0,6,2016/6/27,2016/7/7,9 ,,,,
,조립1팀,중조립,115K PC,HN5010,A31S,SS1,AL4,AFT. DECK (R/HORN SIDE BLK),(유)예솔기업,, 0.0, 0.0, 0.0,6,2016/6/27,2016/7/7,9 ,,,,
,조립1팀,중조립,115K PC,HN5010,B58P,SS1,CS4,HOPPER (CURVE),(유)예솔기업,, 0.0, 0.0, 0.0,12,2016/7/5,2016/7/18,10 ,,,,
